ds,yhat,yhat_lower,yhat_upper
2019-04-12,206239.621276981,98348.68048596193,326120.2706769048
2019-04-13,166729.2132218181,49950.21271166759,275423.5808469361
2019-04-14,202003.89457411767,90148.83155813484,306186.15649691696
2019-04-15,135879.27080565272,24257.00439069507,239102.1682062329
2019-04-16,-59471.221635409165,-178120.7437033029,50325.522851362664
2019-04-17,35695.547463076844,-79136.59496820625,157267.17679775812
2019-04-18,116486.21684740853,5532.25471211378,230538.88828717556
2019-04-19,165866.25838765816,44111.116969207615,264847.97524485405
2019-04-20,130647.96250907538,20635.836330337715,245106.66610020582
2019-04-21,171132.48543946902,60895.21359033937,283323.5570655095
2019-04-22,110996.59604210642,-5889.193226861248,226040.908489126
2019-04-23,-77745.49483332079,-192488.5093553374,47320.070626835644
2019-04-24,24474.259143594827,-88409.87294979373,131999.11051252048
2019-04-25,112576.50101917624,6279.057956904889,224885.1118094506
2019-04-26,169335.01384173817,56699.84753583659,285913.63708861975
2019-04-27,141370.0466420531,18940.632743461458,253018.61318215117
2019-04-28,188795.67136396523,68519.94104363816,299795.3200569385
2019-04-29,135111.6577873608,18778.735347010606,256848.44091428767
2019-04-30,-47829.89499422832,-154046.84799420004,70528.59240345244
2019-05-01,59396.17717393568,-49666.04322002942,174302.53383873348
2019-05-02,151590.62747488293,37699.01243155531,266701.8988119727
2019-05-03,211433.42251211352,97998.9227290487,322471.4308182656
2019-05-04,185479.38612433834,79964.50565446094,302866.14231493784
2019-05-05,233807.05178304986,124815.94207668824,348875.9018963832
2019-05-06,179911.1756471879,69733.08052572494,292539.68794973474
2019-05-07,-4330.861180513515,-120906.46997227352,107566.53402183541
2019-05-08,100560.60148690487,-17502.964843263802,215544.3282905345
2019-05-09,189468.1322713406,76935.40958425675,310977.15881055477
2019-05-10,245178.18737458286,133012.60104743976,352284.8715114145
2019-05-11,214373.44192545832,107229.2098765316,323359.41999554005
2019-05-12,257277.764529649,139202.48149465985,360601.02699464024
2019-05-13,197544.4042422159,81476.42436808212,314419.26582701737
2019-05-14,7217.747417763836,-101632.90202061055,118468.89611206185
2019-05-15,105948.1439858279,-16911.65300470491,218281.11324209298
